Invitation round,Screened in previous invitation round?,Age group,Year,Participated,Invited,Participation (%)
Subsequent,No,50–54,2015–2016,1472,2538,58
Subsequent,No,55–59,2015–2016,72237,399856,18.1
Subsequent,No,60–64,2015–2016,96677,444481,21.8
Subsequent,No,65–69,2015–2016,18763,73631,25.5
Subsequent,No,70–74,2015–2016,79219,326471,24.3
Subsequent,No,50–74,2015–2016,268368,1246977,21.5
Subsequent,Yes,50–54,2015–2016,300,373,80.4
Subsequent,Yes,55–59,2015–2016,138858,191361,72.6
Subsequent,Yes,60–64,2015–2016,215601,282574,76.3
Subsequent,Yes,65–69,2015–2016,45274,61054,74.2
Subsequent,Yes,70–74,2015–2016,279143,347793,80.3
Subsequent,Yes,50–74,2015–2016,679176,883155,76.9
Subsequent,All,50–54,2015–2016,1772,2911,60.9
Subsequent,All,55–59,2015–2016,211095,591217,35.7
Subsequent,All,60–64,2015–2016,312278,727055,43
Subsequent,All,65–69,2015–2016,64037,134685,47.5
Subsequent,All,70–74,2015–2016,358362,674264,53.1
Subsequent,All,50–74,2015–2016,947544,2130132,44.5
Subsequent,No,50–54,2016–2017,34271,194485,17.6
Subsequent,No,55–59,2016–2017,100081,567662,17.6
Subsequent,No,60–64,2016–2017,126050,580940,21.7
Subsequent,No,65–69,2016–2017,43519,177480,24.5
Subsequent,No,70–74,2016–2017,115803,469044,24.7
Subsequent,No,50–74,2016–2017,419724,1989611,21.1
Subsequent,Yes,50–54,2016–2017,55695,79533,70
Subsequent,Yes,55–59,2016–2017,198453,270563,73.3
Subsequent,Yes,60–64,2016–2017,286187,370658,77.2
Subsequent,Yes,65–69,2016–2017,113698,143023,79.5
Subsequent,Yes,70–74,2016–2017,381204,471409,80.9
Subsequent,Yes,50–74,2016–2017,1035237,1335186,77.5
Subsequent,All,50–54,2016–2017,89966,274018,32.8
Subsequent,All,55–59,2016–2017,298534,838225,35.6
Subsequent,All,60–64,2016–2017,412237,951598,43.3
Subsequent,All,65–69,2016–2017,157217,320503,49.1
Subsequent,All,70–74,2016–2017,497007,940453,52.8
Subsequent,All,50–74,2016–2017,1454961,3324797,43.8
Subsequent,No,50–54,2017–2018,76999,423867,18.2
Subsequent,No,55–59,2017–2018,103600,576118,18
Subsequent,No,60–64,2017–2018,154258,750987,20.5
Subsequent,No,65–69,2017–2018,85453,363887,23.5
Subsequent,No,70–74,2017–2018,125278,514338,24.4
Subsequent,No,50–74,2017–2018,545588,2629197,20.8
Subsequent,Yes,50–54,2017–2018,124038,174434,71.1
Subsequent,Yes,55–59,2017–2018,222096,294573,75.4
Subsequent,Yes,60–64,2017–2018,391589,493641,79.3
Subsequent,Yes,65–69,2017–2018,236991,284771,83.2
Subsequent,Yes,70–74,2017–2018,416205,501871,82.9
Subsequent,Yes,50–74,2017–2018,1390919,1749290,79.5
Subsequent,All,50–54,2017–2018,201037,598301,33.6
Subsequent,All,55–59,2017–2018,325696,870691,37.4
Subsequent,All,60–64,2017–2018,545847,1244628,43.9
Subsequent,All,65–69,2017–2018,322444,648658,49.7
Subsequent,All,70–74,2017–2018,541483,1016209,53.3
Subsequent,All,50–74,2017–2018,1936507,4378487,44.2
Subsequent,No,50–54,2018–2019,112718,596518,18.9
Subsequent,No,55–59,2018–2019,106784,565414,18.9
Subsequent,No,60–64,2018–2019,182480,877834,20.8
Subsequent,No,65–69,2018–2019,113295,470626,24.1
Subsequent,No,70–74,2018–2019,120337,515943,23.3
Subsequent,No,50–74,2018–2019,635614,3026335,21
Subsequent,Yes,50–54,2018–2019,174976,245417,71.3
Subsequent,Yes,55–59,2018–2019,226014,293859,76.9
Subsequent,Yes,60–64,2018–2019,471856,583847,80.8
Subsequent,Yes,65–69,2018–2019,322135,383259,84.1
Subsequent,Yes,70–74,2018–2019,439154,517375,84.9
Subsequent,Yes,50–74,2018–2019,1634135,2023757,80.7
Subsequent,All,50–54,2018–2019,287694,841935,34.2
Subsequent,All,55–59,2018–2019,332798,859273,38.7
Subsequent,All,60–64,2018–2019,654336,1461681,44.8
Subsequent,All,65–69,2018–2019,435430,853885,51
Subsequent,All,70–74,2018–2019,559491,1033318,54.1
Subsequent,All,50–74,2018–2019,2269749,5050092,44.9
Subsequent,No,50–54,2019–2020,129168,718322,18
Subsequent,No,55–59,2019–2020,126673,686124,18.5
Subsequent,No,60–64,2019–2020,143761,729223,19.7
Subsequent,No,65–69,2019–2020,83453,369264,22.6
Subsequent,No,70–74,2019–2020,89406,417973,21.4
Subsequent,No,50–74,2019–2020,572461,2920906,19.6
Subsequent,Yes,50–54,2019–2020,225355,308302,73.1
Subsequent,Yes,55–59,2019–2020,281535,358964,78.4
Subsequent,Yes,60–64,2019–2020,457058,550165,83.1
Subsequent,Yes,65–69,2019–2020,316693,368298,86
Subsequent,Yes,70–74,2019–2020,429937,496259,86.6
Subsequent,Yes,50–74,2019–2020,1710578,2081988,82.2
Subsequent,All,50–54,2019–2020,354523,1026624,34.5
Subsequent,All,55–59,2019–2020,408208,1045088,39.1
Subsequent,All,60–64,2019–2020,600819,1279388,47
Subsequent,All,65–69,2019–2020,400146,737562,54.3
Subsequent,All,70–74,2019–2020,519343,914232,56.8
Subsequent,All,50–74,2019–2020,2283039,5002894,45.6
Subsequent,No,50–54,2020–2021,111088,740917,15
Subsequent,No,55–59,2020–2021,115109,715509,16.1
Subsequent,No,60–64,2020–2021,136558,829783,16.5
Subsequent,No,65–69,2020–2021,76940,413900,18.6
Subsequent,No,70–74,2020–2021,86191,480506,17.9
Subsequent,No,50–74,2020–2021,525886,3180615,16.5
Subsequent,Yes,50–54,2020–2021,234234,324294,72.2
Subsequent,Yes,55–59,2020–2021,277053,358066,77.4
Subsequent,Yes,60–64,2020–2021,462613,561191,82.4
Subsequent,Yes,65–69,2020–2021,323687,378765,85.5
Subsequent,Yes,70–74,2020–2021,427621,499442,85.6
Subsequent,Yes,50–74,2020–2021,1725208,2121758,81.3
Subsequent,All,50–54,2020–2021,345322,1065211,32.4
Subsequent,All,55–59,2020–2021,392162,1073575,36.5
Subsequent,All,60–64,2020–2021,599171,1390974,43.1
Subsequent,All,65–69,2020–2021,400627,792665,50.5
Subsequent,All,70–74,2020–2021,513812,979948,52.4
Subsequent,All,50–74,2020–2021,2251094,5302373,42.5
First,n.a.,50–54,2015–2016,213023,621523,27.9
First,n.a.,55–59,2015–2016,3598,13661,26.3
First,n.a.,60–64,2015–2016,5920,18718,31.6
First,n.a.,65–69,2015–2016,144226,336933,42.8
First,n.a.,70–74,2015–2016,24182,53868,44.9
First,n.a.,50–74,2015–2016,351398,1044703,33.6
First,n.a.,50–54,2016–2017,175798,616542,28.5
First,n.a.,55–59,2016–2017,4069,14845,27.4
First,n.a.,60–64,2016–2017,6917,21001,32.9
First,n.a.,65–69,2016–2017,46764,109365,42.8
First,n.a.,70–74,2016–2017,4921,13948,35.3
First,n.a.,50–74,2016–2017,238469,775701,30.7
First,n.a.,50–54,2017–2018,197154,650591,30.3
First,n.a.,55–59,2017–2018,3568,11723,30.4
First,n.a.,60–64,2017–2018,6560,18264,35.9
First,n.a.,65–69,2017–2018,2088,5445,38.3
First,n.a.,70–74,2017–2018,3692,10028,36.8
First,n.a.,50–74,2017–2018,213062,696051,30.6
First,n.a.,50–54,2018–2019,213023,654611,32.5
First,n.a.,55–59,2018–2019,2841,8688,32.7
First,n.a.,60–64,2018–2019,6270,16808,37.3
First,n.a.,65–69,2018–2019,2990,7675,39
First,n.a.,70–74,2018–2019,2444,6370,38.4
First,n.a.,50–74,2018–2019,227568,694152,32.8
First,n.a.,50–54,2019–2020,226133,701053,32.3
First,n.a.,55–59,2019–2020,3894,15651,24.9
First,n.a.,60–64,2019–2020,4827,16828,28.7
First,n.a.,65–69,2019–2020,3092,10471,29.5
First,n.a.,70–74,2019–2020,2553,11331,22.5
First,n.a.,50–74,2019–2020,240499,755334,31.8
First,n.a.,50–54,2020–2021,228131,748193,30.5
First,n.a.,55–59,2020–2021,3307,12432,26.6
First,n.a.,60–64,2020–2021,3410,11366,30
First,n.a.,65–69,2020–2021,1978,6968,28.4
First,n.a.,70–74,2020–2021,2345,9647,24.3
First,n.a.,50–74,2020–2021,239171,788606,30.3
All rounds,No(a),50–54,2015–2016,174944,624061,28
All rounds,No(a),55–59,2015–2016,75835,413517,18.3
All rounds,No(a),60–64,2015–2016,102597,463199,22.1
All rounds,No(a),65–69,2015–2016,162989,410564,39.7
All rounds,No(a),70–74,2015–2016,103401,380339,27.2
All rounds,No(a),50–74,2015–2016,619766,2291680,27
All rounds,Yes,50–54,2015–2016,300,373,80.4
All rounds,Yes,55–59,2015–2016,138858,191361,72.6
All rounds,Yes,60–64,2015–2016,215601,282574,76.3
All rounds,Yes,65–69,2015–2016,45274,61054,74.2
All rounds,Yes,70–74,2015–2016,279143,347793,80.3
All rounds,Yes,50–74,2015–2016,679176,883155,76.9
All rounds,All,50–54,2015–2016,175244,624434,28.1
All rounds,All,55–59,2015–2016,214693,604878,35.5
All rounds,All,60–64,2015–2016,318198,745773,42.7
All rounds,All,65–69,2015–2016,208263,471618,44.2
All rounds,All,70–74,2015–2016,382544,728132,52.5
All rounds,All,50–74,2015–2016,1298942,3174835,40.9
All rounds,No(a),50–54,2016–2017,210069,811027,25.9
All rounds,No(a),55–59,2016–2017,104150,582507,17.9
All rounds,No(a),60–64,2016–2017,132967,601941,22.1
All rounds,No(a),65–69,2016–2017,90283,286845,31.5
All rounds,No(a),70–74,2016–2017,120724,482992,25
All rounds,No(a),50–74,2016–2017,658193,2765312,23.8
All rounds,Yes,50–54,2016–2017,55695,79533,70
All rounds,Yes,55–59,2016–2017,198453,270563,73.3
All rounds,Yes,60–64,2016–2017,286187,370658,77.2
All rounds,Yes,65–69,2016–2017,113698,143023,79.5
All rounds,Yes,70–74,2016–2017,381204,471409,80.9
All rounds,Yes,50–74,2016–2017,1035237,1335186,77.5
All rounds,All,50–54,2016–2017,265764,890560,29.8
All rounds,All,55–59,2016–2017,302603,853070,35.5
All rounds,All,60–64,2016–2017,419154,972599,43.1
All rounds,All,65–69,2016–2017,203981,429868,47.5
All rounds,All,70–74,2016–2017,501928,954401,52.6
All rounds,All,50–74,2016–2017,1693430,4100498,41.3
All rounds,No(a),50–54,2017–2018,274153,1074458,25.5
All rounds,No(a),55–59,2017–2018,107168,587841,18.2
All rounds,No(a),60–64,2017–2018,160818,769251,20.9
All rounds,No(a),65–69,2017–2018,87541,369332,23.7
All rounds,No(a),70–74,2017–2018,128970,524366,24.6
All rounds,No(a),50–74,2017–2018,758650,3325248,22.8
All rounds,Yes,50–54,2017–2018,124038,174434,71.1
All rounds,Yes,55–59,2017–2018,222096,294573,75.4
All rounds,Yes,60–64,2017–2018,391589,493641,79.3
All rounds,Yes,65–69,2017–2018,236991,284771,83.2
All rounds,Yes,70–74,2017–2018,416205,501871,82.9
All rounds,Yes,50–74,2017–2018,1390919,1749290,79.5
All rounds,All,50–54,2017–2018,398191,1248892,31.9
All rounds,All,55–59,2017–2018,329264,882414,37.3
All rounds,All,60–64,2017–2018,552407,1262892,43.7
All rounds,All,65–69,2017–2018,324532,654103,49.6
All rounds,All,70–74,2017–2018,545175,1026237,53.1
All rounds,All,50–74,2017–2018,2149569,5074538,42.4
All rounds,No(a),50–54,2018–2019,325741,1251129,26
All rounds,No(a),55–59,2018–2019,109625,574102,19.1
All rounds,No(a),60–64,2018–2019,188750,894642,21.1
All rounds,No(a),65–69,2018–2019,116285,478301,24.3
All rounds,No(a),70–74,2018–2019,122781,522313,23.5
All rounds,No(a),50–74,2018–2019,863182,3720487,23.2
All rounds,Yes,50–54,2018–2019,174976,245417,71.3
All rounds,Yes,55–59,2018–2019,226014,293859,76.9
All rounds,Yes,60–64,2018–2019,471856,583847,80.8
All rounds,Yes,65–69,2018–2019,322135,383259,84.1
All rounds,Yes,70–74,2018–2019,439154,517375,84.9
All rounds,Yes,50–74,2018–2019,1634135,2023757,80.7
All rounds,All,50–54,2018–2019,500717,1496546,33.5
All rounds,All,55–59,2018–2019,335639,867961,38.7
All rounds,All,60–64,2018–2019,660606,1478489,44.7
All rounds,All,65–69,2018–2019,438420,861560,50.9
All rounds,All,70–74,2018–2019,561935,1039688,54
All rounds,All,50–74,2018–2019,2497317,5744244,43.5
All rounds,No(a),50–54,2019–2020,355301,1419375,25
All rounds,No(a),55–59,2019–2020,130567,701775,18.6
All rounds,No(a),60–64,2019–2020,148588,746051,19.9
All rounds,No(a),65–69,2019–2020,86545,379735,22.8
All rounds,No(a),70–74,2019–2020,91959,429304,21.4
All rounds,No(a),50–74,2019–2020,812960,3676240,22.1
All rounds,Yes,50–54,2019–2020,225355,308302,73.1
All rounds,Yes,55–59,2019–2020,281535,358964,78.4
All rounds,Yes,60–64,2019–2020,457058,550165,83.1
All rounds,Yes,65–69,2019–2020,316693,368298,86
All rounds,Yes,70–74,2019–2020,429937,496259,86.6
All rounds,Yes,50–74,2019–2020,1710578,2081988,82.2
All rounds,All,50–54,2019–2020,580656,1727677,33.6
All rounds,All,55–59,2019–2020,412102,1060739,38.9
All rounds,All,60–64,2019–2020,605646,1296216,46.7
All rounds,All,65–69,2019–2020,403238,748033,53.9
All rounds,All,70–74,2019–2020,521896,925563,56.4
All rounds,All,50–74,2019–2020,2523538,5758228,43.8
All rounds,No(a),50–54,2020–2021,339219,1489110,22.8
All rounds,No(a),55–59,2020–2021,118416,727941,16.3
All rounds,No(a),60–64,2020–2021,139968,841149,16.6
All rounds,No(a),65–69,2020–2021,78918,420868,18.8
All rounds,No(a),70–74,2020–2021,88536,490153,18.1
All rounds,No(a),50–74,2020–2021,765057,3969221,19.3
All rounds,Yes,50–54,2020–2021,234234,324294,72.2
All rounds,Yes,55–59,2020–2021,277053,358066,77.4
All rounds,Yes,60–64,2020–2021,462613,561191,82.4
All rounds,Yes,65–69,2020–2021,323687,378765,85.5
All rounds,Yes,70–74,2020–2021,427621,499442,85.6
All rounds,Yes,50–74,2020–2021,1725208,2121758,81.3
All rounds,All,50–54,2020–2021,573453,1813404,31.6
All rounds,All,55–59,2020–2021,395469,1086007,36.4
All rounds,All,60–64,2020–2021,602581,1402340,43
All rounds,All,65–69,2020–2021,402605,799633,50.3
All rounds,All,70–74,2020–2021,516157,989595,52.2
All rounds,All,50–74,2020–2021,2490265,6090979,40.9
