State/territory,Sex,Age group,Year,Participated,Invited,Participation (%)
NSW,Males,50-54,2014-2015,"26,421","108,394",24.4
NSW,Males,55-59,2014-2015,"32,124","101,229",31.7
NSW,Males,60-64,2014-2015,"35,337","94,552",37.4
NSW,Males,65-69,2014-2015,"30,764","81,280",37.8
NSW,Males,70-74,2014-2015,"21,427","44,142",48.5
NSW,Males,50-74,2014-2015,"146,073","429,597",34
NSW,Females,50-54,2014-2015,"29,589","107,019",27.6
NSW,Females,55-59,2014-2015,"36,864","101,181",36.4
NSW,Females,60-64,2014-2015,"40,806","95,956",42.5
NSW,Females,65-69,2014-2015,"34,267","81,612",42
NSW,Females,70-74,2014-2015,"22,144","44,738",49.5
NSW,Females,50-74,2014-2015,"163,670","430,506",38
NSW,Persons,50-54,2014-2015,"56,010","215,413",26
NSW,Persons,55-59,2014-2015,"68,988","202,410",34.1
NSW,Persons,60-64,2014-2015,"76,143","190,508",40
NSW,Persons,65-69,2014-2015,"65,031","162,892",39.9
NSW,Persons,70-74,2014-2015,"43,571","88,880",49
NSW,Persons,50-74,2014-2015,"309,743","860,103",36
Vic,Males,50-54,2014-2015,"22,892","83,804",27.3
Vic,Males,55-59,2014-2015,"26,892","76,117",35.3
Vic,Males,60-64,2014-2015,"28,936","70,452",41.1
Vic,Males,65-69,2014-2015,"24,374","59,736",40.8
Vic,Males,70-74,2014-2015,"16,142","31,349",51.5
Vic,Males,50-74,2014-2015,"119,236","321,458",37.1
Vic,Females,50-54,2014-2015,"27,680","83,965",33
Vic,Females,55-59,2014-2015,"31,764","76,600",41.5
Vic,Females,60-64,2014-2015,"34,670","72,464",47.8
Vic,Females,65-69,2014-2015,"28,521","61,852",46.1
Vic,Females,70-74,2014-2015,"16,650","31,662",52.6
Vic,Females,50-74,2014-2015,"139,285","326,543",42.7
Vic,Persons,50-54,2014-2015,"50,572","167,769",30.1
Vic,Persons,55-59,2014-2015,"58,656","152,717",38.4
Vic,Persons,60-64,2014-2015,"63,606","142,916",44.5
Vic,Persons,65-69,2014-2015,"52,895","121,588",43.5
Vic,Persons,70-74,2014-2015,"32,792","63,011",52
Vic,Persons,50-74,2014-2015,"258,521","648,001",39.9
Qld,Males,50-54,2014-2015,"16,997","66,481",25.6
Qld,Males,55-59,2014-2015,"20,152","61,187",32.9
Qld,Males,60-64,2014-2015,"22,417","56,291",39.8
Qld,Males,65-69,2014-2015,"20,328","49,271",41.3
Qld,Males,70-74,2014-2015,"13,137","25,101",52.3
Qld,Males,50-74,2014-2015,"93,031","258,331",36
Qld,Females,50-54,2014-2015,"19,013","66,010",28.8
Qld,Females,55-59,2014-2015,"22,834","60,613",37.7
Qld,Females,60-64,2014-2015,"25,588","56,360",45.4
Qld,Females,65-69,2014-2015,"22,260","48,494",45.9
Qld,Females,70-74,2014-2015,"13,289","24,487",54.3
Qld,Females,50-74,2014-2015,"102,984","255,964",40.2
Qld,Persons,50-54,2014-2015,"36,010","132,491",27.2
Qld,Persons,55-59,2014-2015,"42,986","121,800",35.3
Qld,Persons,60-64,2014-2015,"48,005","112,651",42.6
Qld,Persons,65-69,2014-2015,"42,588","97,765",43.6
Qld,Persons,70-74,2014-2015,"26,426","49,588",53.3
