Year,Month,Sex,Status,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,Australia
2014,January,Males,Returned,4640,3344,2537,1550,1298,368,258,10,14005
2014,February,Males,Returned,5556,4329,2888,1452,1453,490,283,10,16461
2014,March,Males,Returned,5460,4435,3109,1214,1555,480,298,9,16560
2014,April,Males,Returned,5392,4592,3006,1566,1511,515,332,15,16929
2014,May,Males,Returned,7994,6074,4753,2335,2153,624,385,82,24399
2014,June,Males,Returned,7304,5918,5270,2593,2405,575,400,321,24786
2014,July,Males,Returned,7465,6186,5410,2894,2453,672,430,429,25939
2014,August,Males,Returned,5697,4638,4360,2314,1685,472,308,303,19777
2014,September,Males,Returned,6776,4825,4578,2708,1746,572,366,208,21779
2014,October,Males,Returned,5845,4645,3881,2111,1704,474,331,66,19057
2014,November,Males,Returned,4514,3765,2937,1611,1590,419,274,28,15138
2014,December,Males,Returned,4008,3651,2442,1588,1272,444,230,9,13644
2015,January,Males,Returned,2640,2641,1675,1027,1004,281,157,11,9436
2015,February,Males,Returned,5769,5071,2812,1420,1316,565,366,6,17325
2015,March,Males,Returned,6159,5164,3375,1473,1933,647,309,5,19065
2015,April,Males,Returned,6759,5978,3868,1679,1898,584,455,11,21232
2015,May,Males,Returned,7974,6140,5048,2412,2314,703,408,183,25182
2015,June,Males,Returned,7126,5987,4586,2462,2004,636,393,313,23508
2015,July,Males,Returned,8215,6442,5484,3261,2616,721,399,365,27503
2015,August,Males,Returned,5895,4662,4340,2550,1799,532,303,237,20317
2015,September,Males,Returned,3240,2963,2283,1293,932,283,167,127,11288
2015,October,Males,Returned,5940,4767,4402,2258,1743,492,330,108,20040
2015,November,Males,Returned,6069,5170,3884,2037,1994,527,340,56,20077
2015,December,Males,Returned,5963,4677,3895,2520,1743,636,339,20,19793
2016,January,Males,Returned,5390,4786,3167,1956,1652,534,325,16,17826
2016,February,Males,Returned,8477,7381,5087,2163,2684,939,422,14,27167
2016,March,Males,Returned,9257,6753,4165,2142,2172,588,458,11,25546
2016,April,Males,Returned,9671,7838,4784,1994,2319,671,468,49,27794
2016,May,Males,Returned,11175,8998,7044,3026,2913,839,572,334,34901
2016,June,Males,Returned,10227,8286,6520,3153,2486,739,545,465,32421
2016,July,Males,Returned,9215,7164,6441,3134,2374,666,459,353,29807
2016,August,Males,Returned,9850,8022,7362,3411,2834,748,515,271,33013
2016,September,Males,Returned,10068,8008,6887,3548,2796,817,460,168,32752
2016,October,Males,Returned,8590,7671,6967,3111,2701,821,469,100,30429
2016,November,Males,Returned,10038,9017,7782,4735,2931,1050,486,57,36096
2016,December,Males,Returned,7685,6789,4796,4400,2251,990,449,32,27392
2017,January,Males,Returned,6962,6248,4203,3645,2019,860,356,7,24300
2017,February,Males,Returned,9544,8849,5364,3378,2723,1151,551,11,31571
2017,March,Males,Returned,11694,8643,5753,3415,2762,1042,668,8,33985
2017,April,Males,Returned,8658,7521,4789,2640,2544,761,523,39,27475
2017,May,Males,Returned,12411,9625,7594,3531,3405,1245,651,363,38824
2017,June,Males,Returned,12449,9405,8122,4362,3254,1116,695,571,39974
2017,July,Males,Returned,9884,8035,6907,3815,2917,787,538,369,33252
2017,August,Males,Returned,12572,12400,8407,4460,3290,1009,639,363,43140
2017,September,Males,Returned,11569,11221,7883,4151,3270,963,586,254,39896
2017,October,Males,Returned,12302,10341,10271,5341,3474,1132,614,135,43610
2017,November,Males,Returned,12605,10134,8289,4433,3573,1119,616,76,40845
2017,December,Males,Returned,8186,7378,5383,3828,2479,759,437,32,28482
2018,January,Males,Returned,8386,7945,5165,3940,2655,805,470,31,29397
2018,February,Males,Returned,13103,12465,6574,3932,4458,1407,673,24,42636
2018,March,Males,Returned,15064,12923,6614,3300,3742,1461,701,12,43818
2018,April,Males,Returned,14102,12562,6284,3743,3551,1456,695,89,42482
2018,May,Males,Returned,19527,15937,11609,6557,4516,1695,1070,540,61452
2018,June,Males,Returned,16782,13909,13194,6903,4441,1788,985,742,58744
2018,July,Males,Returned,14189,11086,12100,6029,4079,1363,808,543,50197
2018,August,Males,Returned,15240,13338,12319,7357,4192,1248,747,478,54919
2018,September,Males,Returned,14116,12515,10025,5492,3755,1165,704,271,48043
2018,October,Males,Returned,14377,13014,9715,5998,3606,1165,725,172,48772
2018,November,Males,Returned,14594,11922,8994,5555,4172,1377,784,78,47476
2018,December,Males,Returned,10492,9773,6363,3820,2940,1069,576,273,35306
2019,January,Males,Returned,11052,9668,7182,4150,2872,987,506,337,36754
2019,February,Males,Returned,16924,14396,8166,3652,4912,1537,818,263,50669
2019,March,Males,Returned,16992,15134,9375,4590,4874,1693,764,214,53638
2019,April,Males,Returned,13813,14038,9382,5177,4403,1400,755,184,49152
2019,May,Males,Returned,18582,16947,11465,6978,5299,1744,909,466,62390
2019,June,Males,Returned,16969,18128,13842,8543,5869,1757,1044,713,66865
2019,July,Males,Returned,16384,15368,13025,9228,5193,1649,925,489,62261
2019,August,Males,Returned,22705,16819,17404,10161,5795,1825,1314,541,76563
2019,September,Males,Returned,17064,13125,12142,7165,4338,1330,954,276,56394
2019,October,Males,Returned,14893,11562,9610,5562,4053,1052,957,145,47834
2019,November,Males,Returned,14594,12245,9691,5713,4684,1297,946,109,49278
2019,December,Males,Returned,9779,7087,4728,3059,2590,675,669,45,28632
2020,January,Males,Returned,8911,7088,5127,3178,2832,681,497,34,28348
