State/territory,PHN code,PHN name,Year,Participated,Invited,Participation (%)
NSW,PHN101,Central and Eastern Sydney,2015–2016,64863,186508,34.8
NSW,PHN101,Central and Eastern Sydney,2016–2017,83365,237308,35.1
NSW,PHN101,Central and Eastern Sydney,2017–2018,107191,293747,36.5
NSW,PHN101,Central and Eastern Sydney,2018–2019,123641,326857,37.83
NSW,PHN101,Central and Eastern Sydney,2019–2020,132260,339678,38.94
NSW,PHN101,Central and Eastern Sydney,2020–2021,132758,356631,37.23
NSW,PHN102,Northern Sydney,2015–2016,49568,123424,40.2
NSW,PHN102,Northern Sydney,2016–2017,63820,158335,40.3
NSW,PHN102,Northern Sydney,2017–2018,81954,195865,41.8
NSW,PHN102,Northern Sydney,2018–2019,94475,218464,43.25
NSW,PHN102,Northern Sydney,2019–2020,99774,224328,44.48
NSW,PHN102,Northern Sydney,2020–2021,100537,233208,43.11
NSW,PHN103,Western Sydney,2015–2016,37526,109418,34.3
NSW,PHN103,Western Sydney,2016–2017,48703,140145,34.8
NSW,PHN103,Western Sydney,2017–2018,62061,174559,35.6
NSW,PHN103,Western Sydney,2018–2019,74641,205496,36.32
NSW,PHN103,Western Sydney,2019–2020,76879,204050,37.68
NSW,PHN103,Western Sydney,2020–2021,77444,217694,35.57
NSW,PHN104,Nepean Blue Mountains,2015–2016,18077,49414,36.6
NSW,PHN104,Nepean Blue Mountains,2016–2017,23523,63976,36.8
NSW,PHN104,Nepean Blue Mountains,2017–2018,29848,78028,38.3
NSW,PHN104,Nepean Blue Mountains,2018–2019,33794,83209,40.61
NSW,PHN104,Nepean Blue Mountains,2019–2020,36819,89336,41.21
NSW,PHN104,Nepean Blue Mountains,2020–2021,36903,94243,39.16
NSW,PHN105,South Western Sydney,2015–2016,41807,122019,34.3
NSW,PHN105,South Western Sydney,2016–2017,55096,158162,34.8
NSW,PHN105,South Western Sydney,2017–2018,71045,197483,36
NSW,PHN105,South Western Sydney,2018–2019,77944,208461,37.39
NSW,PHN105,South Western Sydney,2019–2020,89514,231084,38.74
NSW,PHN105,South Western Sydney,2020–2021,90734,247225,36.7
NSW,PHN106,South Eastern NSW,2015–2016,38472,91471,42.1
NSW,PHN106,South Eastern NSW,2016–2017,49865,118724,42
NSW,PHN106,South Eastern NSW,2017–2018,62721,145358,43.1
NSW,PHN106,South Eastern NSW,2018–2019,72296,163551,44.2
NSW,PHN106,South Eastern NSW,2019–2020,74584,163798,45.53
NSW,PHN106,South Eastern NSW,2020–2021,74761,172565,43.32
NSW,PHN107,Western NSW,2015–2016,16633,43264,38.4
NSW,PHN107,Western NSW,2016–2017,21676,56913,38.1
NSW,PHN107,Western NSW,2017–2018,26361,69026,38.2
NSW,PHN107,Western NSW,2018–2019,29211,74557,39.18
NSW,PHN107,Western NSW,2019–2020,30090,74800,40.23
NSW,PHN107,Western NSW,2020–2021,30168,80568,37.44
NSW,PHN108,Hunter New England and Central Coast,2015–2016,74962,181236,41.4
NSW,PHN108,Hunter New England and Central Coast,2016–2017,96831,236916,40.9
NSW,PHN108,Hunter New England and Central Coast,2017–2018,120907,288297,41.9
NSW,PHN108,Hunter New England and Central Coast,2018–2019,140326,325500,43.11
NSW,PHN108,Hunter New England and Central Coast,2019–2020,141147,319863,44.13
NSW,PHN108,Hunter New England and Central Coast,2020–2021,140871,336416,41.87
NSW,PHN109,North Coast,2015–2016,36056,85942,42
NSW,PHN109,North Coast,2016–2017,46217,111362,41.5
NSW,PHN109,North Coast,2017–2018,57413,136779,42
NSW,PHN109,North Coast,2018–2019,64567,150916,42.78
NSW,PHN109,North Coast,2019–2020,66268,151343,43.79
NSW,PHN109,North Coast,2020–2021,65551,159902,40.99
NSW,PHN110,Murrumbidgee,2015–2016,13980,34607,40.4
NSW,PHN110,Murrumbidgee,2016–2017,18640,45851,40.7
NSW,PHN110,Murrumbidgee,2017–2018,22488,54689,41.1
NSW,PHN110,Murrumbidgee,2018–2019,29641,69355,42.74
NSW,PHN110,Murrumbidgee,2019–2020,25113,58201,43.15
NSW,PHN110,Murrumbidgee,2020–2021,25178,62458,40.31
Vic,PHN201,North Western Melbourne,2015–2016,69028,180693,38.2
Vic,PHN201,North Western Melbourne,2016–2017,93037,234787,39.6
