State/territory,SA2 Code,SA2 Name,Age group,Participated,Invited,Particpation (%),Year
NSW,101021007,Braidwood,50–74,576,1305,44.13910916,2019–2020                
NSW,101021008,Karabar,50–74,726,1958,37.0887062,2019–2020                
NSW,101021009,Queanbeyan,50–74,822,2215,37.1215637,2019–2020                
NSW,101021010,Queanbeyan - East,50–74,374,966,38.68196715,2019–2020                
NSW,101021011,Queanbeyan Region,50–74,2589,5446,47.53302898,2019–2020                
NSW,101021012,Queanbeyan West - Jerrabomberra,50–74,1314,2931,44.83422627,2019–2020                
NSW,101031013,Bombala,50–74,367,748,49.04805808,2019–2020                
NSW,101031014,Cooma,50–74,933,2094,44.54897366,2019–2020                
NSW,101031015,Cooma Region,50–74,366,848,43.14279144,2019–2020                
NSW,101031016,Jindabyne - Berridale,50–74,811,1801,45.03022819,2019–2020                
NSW,101041017,Batemans Bay,50–74,1454,3104,46.83618906,2019–2020                
NSW,101041018,Batemans Bay - South,50–74,1129,2364,47.74855374,2019–2020                
NSW,101041019,Bega - Tathra,50–74,1805,3591,50.2563981,2019–2020                
NSW,101041020,Bega-Eden Hinterland,50–74,1106,2301,48.07836445,2019–2020                
NSW,101041021,Broulee - Tomakin,50–74,893,1744,51.22490796,2019–2020                
NSW,101041022,Deua - Wadbilliga,50–74,n.p.,n.p.,n.p.,2019–2020                
NSW,101041023,Eden,50–74,606,1231,49.2282697,2019–2020                
NSW,101041024,Eurobodalla Hinterland,50–74,495,1039,47.6355056,2019–2020                
NSW,101041025,Merimbula - Tura Beach,50–74,2099,3873,54.19581137,2019–2020                
NSW,101041026,Moruya - Tuross Head,50–74,1159,2404,48.19732603,2019–2020                
NSW,101041027,Narooma - Bermagui,50–74,1814,3552,51.07005317,2019–2020                
NSW,101051539,Goulburn,50–74,2675,6225,42.97047245,2019–2020                
NSW,101051540,Goulburn Region,50–74,1682,3859,43.58621782,2019–2020                
NSW,101061541,Yass,50–74,811,1825,44.412519,2019–2020                
NSW,101061542,Yass Region,50–74,1270,2767,45.90434989,2019–2020                
NSW,101061543,Young,50–74,1141,2690,42.41881978,2019–2020                
NSW,101061544,Young Region,50–74,848,2046,41.44578357,2019–2020                
NSW,102011028,Avoca Beach - Copacabana,50–74,840,1813,46.33473942,2019–2020                
NSW,102011029,Box Head - MacMasters Beach,50–74,1371,2900,47.27272677,2019–2020                
NSW,102011030,Calga - Kulnura,50–74,478,1348,35.47980757,2019–2020                
NSW,102011031,Erina - Green Point,50–74,1679,3606,46.56787377,2019–2020                
NSW,102011032,Gosford - Springfield,50–74,2055,5394,38.09745302,2019–2020                
NSW,102011033,Kariong,50–74,565,1408,40.14142522,2019–2020                
NSW,102011034,Kincumber - Picketts Valley,50–74,1026,2269,45.22031881,2019–2020                
NSW,102011035,Narara,50–74,740,1751,42.27162731,2019–2020                
NSW,102011036,Niagara Park - Lisarow,50–74,843,1963,42.97251753,2019–2020                
NSW,102011037,Point Clare - Koolewong,50–74,734,1653,44.41757944,2019–2020                
NSW,102011038,Saratoga - Davistown,50–74,785,1747,44.9379532,2019–2020                
NSW,102011039,Terrigal - North Avoca,50–74,1901,4087,46.5182448,2019–2020                
NSW,102011040,Umina - Booker Bay - Patonga,50–74,3006,7031,42.75131381,2019–2020                
NSW,102011041,Wamberal - Forresters Beach,50–74,1133,2429,46.63725625,2019–2020                
NSW,102011042,Woy Woy - Blackwall,50–74,1551,3736,41.51498929,2019–2020                
NSW,102011043,Wyoming,50–74,1036,2632,39.33995095,2019–2020                
NSW,102021044,Bateau Bay - Killarney Vale,50–74,2212,5191,42.61108436,2019–2020                
NSW,102021045,Blue Haven - San Remo,50–74,890,2459,36.19357462,2019–2020                
NSW,102021046,Budgewoi - Buff Point - Halekulani,50–74,1087,2586,42.03402939,2019–2020                
NSW,102021047,Chittaway Bay - Tumbi Umbi,50–74,1618,3810,42.47547886,2019–2020                
NSW,102021048,Gorokan - Kanwal - Charmhaven,50–74,2084,5418,38.4571513,2019–2020                
NSW,102021049,Jilliby - Yarramalong,50–74,397,906,43.81428589,2019–2020                
NSW,102021050,Lake Munmorah - Mannering Park,50–74,1392,3057,45.54506013,2019–2020                
NSW,102021051,Ourimbah - Fountaindale,50–74,598,1382,43.27062229,2019–2020                
NSW,102021052,Summerland Point - Gwandalan,50–74,747,1675,44.59249002,2019–2020                
NSW,102021053,The Entrance,50–74,2029,4844,41.89317769,2019–2020                
NSW,102021054,Toukley - Norah Head,50–74,1182,2854,41.42664492,2019–2020                
NSW,102021055,Tuggerah - Kangy Angy,50–74,758,1900,39.8924266,2019–2020                
NSW,102021056,Warnervale - Wadalba,50–74,1285,3234,39.74170666,2019–2020                
NSW,102021057,Wyong,50–74,829,2263,36.64592378,2019–2020                
NSW,103011058,Bathurst,50–74,2625,6169,42.55229208,2019–2020                
NSW,103011059,Bathurst - East,50–74,1024,2282,44.85428924,2019–2020                
NSW,103011060,Bathurst Region,50–74,866,1946,44.52361716,2019–2020                
NSW,103011061,Oberon,50–74,570,1382,41.2433347,2019–2020                
NSW,103021062,Condobolin,50–74,582,1643,35.43752752,2019–2020                
NSW,103021063,Cowra,50–74,1106,2669,41.44063387,2019–2020                
NSW,103021064,Cowra Region,50–74,670,1567,42.75388377,2019–2020                
NSW,103021065,Forbes,50–74,1095,2601,42.09925839,2019–2020                
NSW,103021066,Grenfell,50–74,470,1063,44.21409652,2019–2020                
NSW,103021067,Parkes (NSW),50–74,1044,2525,41.34797298,2019–2020                
NSW,103021068,Parkes Region,50–74,373,985,37.82894264,2019–2020                
NSW,103021069,West Wyalong,50–74,546,1424,38.32991435,2019–2020                
NSW,103031070,Lithgow,50–74,1338,3365,39.75373592,2019–2020                
NSW,103031071,Lithgow Region,50–74,1056,2369,44.58514555,2019–2020                
NSW,103031072,Mudgee,50–74,1262,2962,42.60641541,2019–2020                
NSW,103031073,Mudgee Region - East,50–74,508,1141,44.52479712,2019–2020                
NSW,103031074,Mudgee Region - West,50–74,1137,2785,40.82716874,2019–2020                
NSW,103031075,Wollangambe - Wollemi,50–74,n.p.,n.p.,n.p.,2019–2020                
NSW,103041076,Blayney,50–74,920,2070,44.43884449,2019–2020                
NSW,103041077,Orange,50–74,2358,5549,42.49090899,2019–2020                
NSW,103041078,Orange - North,50–74,1694,3875,43.71117765,2019–2020                
NSW,103041079,Orange Region,50–74,1226,2636,46.51209421,2019–2020                
NSW,104011080,Grafton,50–74,2394,5493,43.58913078,2019–2020                
NSW,104011081,Grafton Region,50–74,1920,4495,42.70396802,2019–2020                
NSW,104011082,Maclean - Yamba - Iluka,50–74,2731,5585,48.90023665,2019–2020                
NSW,104021083,Bellingen,50–74,859,1923,44.66978679,2019–2020                
NSW,104021084,Coffs Harbour - North,50–74,1860,4097,45.40362659,2019–2020                
NSW,104021085,Coffs Harbour - South,50–74,1966,4556,43.15248346,2019–2020                
NSW,104021086,Coramba - Nana Glen - Bucca,50–74,386,908,42.49473483,2019–2020                
NSW,104021087,Dorrigo,50–74,386,945,40.84399233,2019–2020                
NSW,104021088,Korora - Emerald Beach,50–74,1192,2356,50.60298098,2019–2020                
NSW,104021089,Sawtell - Boambee,50–74,2615,5479,47.72433361,2019–2020                
NSW,104021090,Urunga,50–74,713,1534,46.47980665,2019–2020                
NSW,104021091,Woolgoolga - Arrawarra,50–74,1700,3706,45.87155616,2019–2020                
NSW,105011092,Bourke - Brewarrina,50–74,201,821,24.48233861,2019–2020                
NSW,105011093,Cobar,50–74,315,938,33.58208955,2019–2020                
NSW,105011094,Coonamble,50–74,303,948,31.96873716,2019–2020                
NSW,105011095,Nyngan - Warren,50–74,410,1168,35.10273973,2019–2020                
NSW,105011096,Walgett - Lightning Ridge,50–74,412,1657,24.86391546,2019–2020                
NSW,105021097,Broken Hill,50–74,1593,4323,36.8496658,2019–2020                
NSW,105021098,Far West,50–74,144,524,27.4506458,2019–2020                
NSW,105031099,Coonabarabran,50–74,884,2259,39.1321531,2019–2020                
NSW,105031100,Dubbo - East,50–74,739,2111,35.02735897,2019–2020                
NSW,105031101,Dubbo - South,50–74,1852,4767,38.86054913,2019–2020                
NSW,105031102,Dubbo - West,50–74,604,1613,37.44913263,2019–2020                
NSW,105031103,Dubbo Region,50–74,481,1173,41.00754155,2019–2020                
NSW,105031104,Gilgandra,50–74,482,1170,41.1900123,2019–2020                
NSW,105031105,Narromine,50–74,571,1594,35.81238854,2019–2020                
NSW,105031106,Wellington,50–74,750,2176,34.46566374,2019–2020                
NSW,106011107,Branxton - Greta - Pokolbin,50–74,1102,2431,45.33146156,2019–2020                
NSW,106011108,Cessnock,50–74,1930,4963,38.88675165,2019–2020                
NSW,106011109,Cessnock Region,50–74,904,2134,42.36336718,2019–2020                
NSW,106011110,Dungog,50–74,1144,2543,44.98624175,2019–2020                
NSW,106011111,Kurri Kurri - Abermain,50–74,1741,4277,40.70642607,2019–2020                
NSW,106011112,Singleton,50–74,1564,3717,42.07325005,2019–2020                
NSW,106011113,Singleton Region,50–74,527,1264,41.70470495,2019–2020                
NSW,106021114,Maitland,50–74,684,1652,41.40642287,2019–2020                
NSW,106021115,Maitland - East,50–74,2900,6537,44.36290136,2019–2020                
NSW,106021116,Maitland - North,50–74,885,1772,49.97178112,2019–2020                
NSW,106021117,Maitland - West,50–74,2100,5023,41.80812945,2019–2020                
NSW,106021118,Thornton - Millers Forest,50–74,1183,2601,45.47310618,2019–2020                
NSW,106031119,Anna Bay,50–74,894,1806,49.50166113,2019–2020                
NSW,106031120,Lemon Tree Passage - Tanilba Bay,50–74,970,2058,47.13313897,2019–2020                
NSW,106031121,Nelson Bay Peninsula,50–74,3350,6499,51.54639175,2019–2020                
NSW,106031122,Raymond Terrace,50–74,1268,3282,38.62994224,2019–2020                
NSW,106031123,Seaham - Woodville,50–74,761,1491,51.04985417,2019–2020                
