State/territory,SA3 code,SA3 name,Participated,Invited,Participation (%),Year
NSW,10101,Goulburn - Yass,"3,454","8,968",38.5,2014-2015
NSW,10102,Queanbeyan,"2,512","6,451",38.9,2014-2015
NSW,10103,Snowy Mountains,989,"2,469",40.1,2014-2015
NSW,10104,South Coast,"4,887","11,062",44.2,2014-2015
NSW,10201,Gosford,"7,926","21,628",36.6,2014-2015
NSW,10202,Wyong,"6,758","18,723",36.1,2014-2015
NSW,10301,Bathurst,"2,048","5,299",38.7,2014-2015
NSW,10302,Lachlan Valley,"2,415","6,656",36.3,2014-2015
NSW,10303,Lithgow - Mudgee,"2,169","5,961",36.4,2014-2015
NSW,10304,Orange,"2,505","6,513",38.5,2014-2015
NSW,10401,Clarence Valley,"2,998","7,406",40.5,2014-2015
NSW,10402,Coffs Harbour,"4,922","12,285",40.1,2014-2015
NSW,10501,Bourke - Cobar - Coonamble,747,"2,704",27.6,2014-2015
NSW,10502,Broken Hill and Far West,838,"2,363",35.5,2014-2015
NSW,10503,Dubbo,"2,652","7,627",34.8,2014-2015
NSW,10601,Lower Hunter,"3,662","9,867",37.1,2014-2015
NSW,10602,Maitland,"2,823","7,530",37.5,2014-2015
NSW,10603,Port Stephens,"3,807","9,218",41.3,2014-2015
NSW,10604,Upper Hunter,"1,117","3,353",33.3,2014-2015
NSW,10701,Dapto - Port Kembla,"3,061","8,863",34.5,2014-2015
NSW,10702,Illawarra Catchment Reserve,n.p.,n.p.,n.p.,2014-2015
NSW,10703,Kiama - Shellharbour,"4,299","10,997",39.1,2014-2015
NSW,10704,Wollongong,"5,557","14,367",38.7,2014-2015
NSW,10801,Great Lakes,"1,953","4,437",44,2014-2015
NSW,10802,Kempsey - Nambucca,"2,720","7,064",38.5,2014-2015
NSW,10803,Lord Howe Island,n.p.,n.p.,n.p.,2014-2015
NSW,10804,Port Macquarie,"4,296","10,247",41.9,2014-2015
NSW,10805,Taree - Gloucester,"3,197","7,712",41.5,2014-2015
NSW,10901,Albury,"2,848","6,864",41.5,2014-2015
NSW,10902,Lower Murray,520,"1,417",36.7,2014-2015
NSW,10903,Upper Murray exc. Albury,"2,322","5,397",43,2014-2015
NSW,11001,Armidale,"1,911","4,569",41.8,2014-2015
NSW,11002,Inverell - Tenterfield,"1,858","4,940",37.6,2014-2015
NSW,11003,Moree - Narrabri,918,"2,845",32.3,2014-2015
NSW,11004,Tamworth - Gunnedah,"3,595","9,283",38.7,2014-2015
NSW,11101,Lake Macquarie - East,"6,172","15,124",40.8,2014-2015
NSW,11102,Lake Macquarie - West,"3,807","9,384",40.6,2014-2015
NSW,11103,Newcastle,"6,983","18,192",38.4,2014-2015
NSW,11201,Richmond Valley - Coastal,"4,415","11,375",38.8,2014-2015
NSW,11202,Richmond Valley - Hinterland,"3,714","9,548",38.9,2014-2015
NSW,11203,Tweed Valley,"4,666","12,091",38.6,2014-2015
NSW,11301,Griffith - Murrumbidgee (West),"1,726","5,210",33.1,2014-2015
NSW,11302,Tumut - Tumbarumba,744,"1,903",39.1,2014-2015
NSW,11303,Wagga Wagga,"3,780","10,104",37.4,2014-2015
NSW,11401,Shoalhaven,"5,662","13,539",41.8,2014-2015
NSW,11402,Southern Highlands,"2,503","6,528",38.3,2014-2015
NSW,11501,Baulkham Hills,"6,838","17,920",38.2,2014-2015
NSW,11502,Dural - Wisemans Ferry,"1,266","3,616",35,2014-2015
NSW,11503,Hawkesbury,"1,279","3,412",37.5,2014-2015
NSW,11504,Rouse Hill - McGraths Hill,"1,129","3,291",34.3,2014-2015
NSW,11601,Blacktown,"4,468","14,379",31.1,2014-2015
NSW,11602,Blacktown - North,"2,501","7,655",32.7,2014-2015
NSW,11603,Mount Druitt,"2,842","11,227",25.3,2014-2015
NSW,11701,Botany,"1,411","4,505",31.3,2014-2015
NSW,11702,Marrickville - Sydenham - Petersham,"1,955","5,717",34.2,2014-2015
NSW,11703,Sydney Inner City,"5,402","17,589",30.7,2014-2015
NSW,11801,Eastern Suburbs - North,"4,169","13,521",30.8,2014-2015
NSW,11802,Eastern Suburbs - South,"4,680","13,829",33.8,2014-2015
NSW,11901,Bankstown,"6,109","18,853",32.4,2014-2015
NSW,11902,Canterbury,"4,324","14,654",29.5,2014-2015
NSW,11903,Hurstville,"5,259","14,925",35.2,2014-2015
NSW,11904,Kogarah - Rockdale,"4,641","14,765",31.4,2014-2015
NSW,12001,Canada Bay,"3,122","8,990",34.7,2014-2015
NSW,12002,Leichhardt,"2,292","6,478",35.4,2014-2015
NSW,12003,Strathfield - Burwood - Ashfield,"5,402","16,417",32.9,2014-2015
NSW,12101,Chatswood - Lane Cove,"4,681","12,558",37.3,2014-2015
NSW,12102,Hornsby,"3,550","9,304",38.2,2014-2015
NSW,12103,Ku-ring-gai,"5,994","15,354",39,2014-2015
NSW,12104,North Sydney - Mosman,"3,982","10,681",37.3,2014-2015
NSW,12201,Manly,"1,932","4,740",40.8,2014-2015
NSW,12202,Pittwater,"3,516","8,839",39.8,2014-2015
NSW,12203,Warringah,"6,583","16,937",38.9,2014-2015
NSW,12301,Camden,"2,004","5,803",34.5,2014-2015
NSW,12302,Campbelltown (NSW),"5,477","18,093",30.3,2014-2015
NSW,12303,Wollondilly,"1,758","4,694",37.5,2014-2015
NSW,12401,Blue Mountains,"4,232","10,897",38.8,2014-2015
NSW,12402,Blue Mountains - South,n.p.,n.p.,n.p.,2014-2015
NSW,12403,Penrith,"4,719","14,449",32.7,2014-2015
NSW,12404,Richmond - Windsor,"1,216","3,919",31,2014-2015
NSW,12405,St Marys,"1,815","6,199",29.3,2014-2015
NSW,12501,Auburn,"2,592","8,121",31.9,2014-2015
NSW,12502,Carlingford,"2,809","7,787",36.1,2014-2015
NSW,12503,Merrylands - Guildford,"4,876","15,707",31,2014-2015
NSW,12504,Parramatta,"4,103","12,140",33.8,2014-2015
NSW,12601,Pennant Hills - Epping,"2,399","6,015",39.9,2014-2015
NSW,12602,Ryde - Hunters Hill,"5,370","14,651",36.7,2014-2015
NSW,12701,Bringelly - Green Valley,"2,942","9,980",29.5,2014-2015
NSW,12702,Fairfield,"8,071","23,435",34.4,2014-2015
NSW,12703,Liverpool,"3,394","11,310",30,2014-2015
NSW,12801,Cronulla - Miranda - Caringbah,"4,710","13,299",35.4,2014-2015
NSW,12802,Sutherland - Menai - Heathcote,"4,828","13,188",36.6,2014-2015
Vic,20101,Ballarat,"5,318","11,569",46,2014-2015
Vic,20102,Creswick - Daylesford - Ballan,"1,639","4,006",40.9,2014-2015
Vic,20103,Maryborough - Pyrenees,"1,561","3,619",43.1,2014-2015
Vic,20201,Bendigo,"4,666","10,309",45.3,2014-2015
Vic,20202,Heathcote - Castlemaine - Kyneton,"2,845","6,409",44.4,2014-2015
Vic,20203,Loddon - Elmore,635,"1,532",41.4,2014-2015
Vic,20301,Barwon - West,985,"2,285",43.1,2014-2015
Vic,20302,Geelong,"8,601","21,128",40.7,2014-2015
Vic,20303,Surf Coast - Bellarine Peninsula,"4,207","8,878",47.4,2014-2015
Vic,20401,Upper Goulburn Valley,"3,064","7,251",42.3,2014-2015
Vic,20402,Wangaratta - Benalla,"2,577","5,546",46.5,2014-2015
Vic,20403,Wodonga - Alpine,"3,784","8,378",45.2,2014-2015
Vic,20501,Baw Baw,"2,603","5,858",44.4,2014-2015
Vic,20502,Gippsland - East,"3,331","6,502",51.2,2014-2015
Vic,20503,Gippsland - South West,"3,888","8,415",46.2,2014-2015
Vic,20504,Latrobe Valley,"3,915","9,075",43.1,2014-2015
Vic,20505,Wellington,"2,581","5,788",44.6,2014-2015
Vic,20601,Brunswick - Coburg,"2,864","7,693",37.2,2014-2015
Vic,20602,Darebin - South,"2,074","5,098",40.7,2014-2015
Vic,20603,Essendon,"2,656","6,630",40.1,2014-2015
Vic,20604,Melbourne City,"2,759","7,810",35.3,2014-2015
Vic,20605,Port Phillip,"3,629","9,881",36.7,2014-2015
Vic,20606,Stonnington - West,"2,115","6,030",35.1,2014-2015
Vic,20607,Yarra,"3,167","8,009",39.5,2014-2015
Vic,20701,Boroondara,"8,660","20,588",42.1,2014-2015
Vic,20702,Manningham - West,"5,000","11,953",41.8,2014-2015
Vic,20703,Whitehorse - West,"4,598","10,854",42.4,2014-2015
Vic,20801,Bayside,"5,254","12,608",41.7,2014-2015
Vic,20802,Glen Eira,"5,647","15,764",35.8,2014-2015
Vic,20803,Kingston,"5,190","13,361",38.8,2014-2015
Vic,20804,Stonnington - East,"1,781","4,427",40.2,2014-2015
Vic,20901,Banyule,"6,379","14,600",43.7,2014-2015
Vic,20902,Darebin - North,"3,214","9,076",35.4,2014-2015
Vic,20903,Nillumbik - Kinglake,"4,000","8,903",44.9,2014-2015
Vic,20904,Whittlesea - Wallan,"6,907","19,368",35.7,2014-2015
Vic,21001,Keilor,"2,818","7,004",40.2,2014-2015
Vic,21002,Macedon Ranges,"1,583","3,701",42.8,2014-2015
