State/territory,SA3 code,SA3 name,Participated,Invited,Participation (%),Year,postcode,long,lat,retirement_home_count,Persons_Advanced_and_Associate_Degree,Persons_Advanced_Diploma,Persons_Certificate_Level_Certificate_III_and_IV,Persons_Certificate_Level_Certificate_I_and_II,Persons_Postgraduate_Degree,Persons_Graduate_Diploma_and_Graduate_Certificate,Persons_Bachelor_Degree,Total_Persons_Males,Total_Persons_Females,Total_Persons,Aboriginal_and_or_Torres_Strait_Islander_Persons,Birthplace_Australia_Persons,Birthplace_Elsewhere_Persons,Language_spoken_at_home_English_only_Persons,Language_spoken_at_home_Other_Language_Persons,Highest_year_of_school_completed_Year_12,Highest_year_of_school_completed_Year_11,Highest_year_of_school_completed_Year_10,Highest_year_of_school_completed_Year_9,Highest_year_of_school_completed_Year_8,Highest_year_of_school_completed_Did_not_go_to_school,Percentage_Total_Aged_55-74,Median_age_of_persons,Median_mortgage_repayment_monthly,Median_total_personal_income_weekly,Median_rent_weekly,Median_total_household_income_weekly,Average_household_size
NSW,10102,Goulburn - Yass,590.152381,554.7,38.5,2015,"2584, 2584, 2585, 2586, 2586, 2586, 2586, 2586, 2586, 2586, 2586, 2586, 2587, 2587, 2587, 2587, 2587, 2587, 2587, 2587, 2587, 2587, 2587, 2587, 2726, 2726, 2726, 2803, 2803, 2803",148.555243,-34.711018,0,1395,5434,9064,605,4432,1668,8522,32664,32122,64793,1902.588441,49706,11809,51318.61602,14834.63879,32129,3174,9738,2313,1597,209,0.21,38,2167,1155,355,2290,2.6
NSW,10103,Queanbeyan,590.152381,554.7,38.9,2015,"2581, 2581, 2581, 2581, 2581, 2581, 2581, 2581, 2581, 2581, 2581, 2581, 2581, 2581, 2581, 2581, 2581, 2581, 2619, 2621, 2621, 2621, 2621, 2621, 2621, 2621, 2623",149.286631,-34.764484,6,402,1515,3753,235,638,333,2282,10674,10046,20717,1752,16332,2863,46344,6855,8420,1202,4335,1061,664,63,0.26,43,1408,825,300,1562,2.3
NSW,10104,Snowy Mountains,989,554.7,40.1,2015,"2625, 2625, 2626, 2626, 2626, 2628, 2628, 2628, 2628, 2628, 2628, 2628, 2628, 2628, 2628, 2628, 2628, 2628, 2628, 2628, 2628, 2629, 2629, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2630, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631, 2631",148.301005,-36.50661,7,1181,6027,13823,931,2296,1638,7656,37632,39101,76736,425,60648,9970,16558,1028,27603,5596,18592,5118,2921,183,0.36,53,1517,631,320,1183,2.2
NSW,10105,South Coast,590.152381,554.7,44.2,2015,"2537, 2537, 2537, 2537, 2537, 2537, 2537, 2537, 2537, 2537, 2537, 2537, 2537, 2537, 2537, 2537, 2537, 2545, 2545, 2545, 2545, 2545, 2545, 2545, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2546, 2548, 2548, 2548, 2548, 2548, 2548, 2549, 2549, 2549, 2549, 2549, 2549, 2549, 2549, 2549, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2550, 2551, 2551, 2551, 2551, 2551, 2551, 2551, 2551, 2551, 2551, 2551, 2551, 2551, 2551, 2632, 2632, 2632, 2632, 2632, 2632, 2632, 2632, 2632, 2632, 2632, 2632, 2632, 2632, 2632, 2632, 2632, 2632, 2632",149.912199,-35.939649,26,655,2854,6790,436,896,566,3032,19335,19072,38403,3127,31779,3942,62958,2406,12560,2139,9543,2677,1590,140,0.27,43,1694,744,310,1449,2.4
NSW,10106,Gosford,590.152381,554.7,36.6,2015,"2251, 2251, 2251, 2251, 2251, 2251, 2251, 2251, 2251, 2251, 2251, 2251, 2256, 2256, 2256, 2256, 2256, 2256, 2256, 2256, 2256, 2256, 2257, 2257, 2257, 2257, 2257, 2257, 2257, 2257, 2257, 2257, 2257, 2257",151.401999,-33.482209,38,754,2707,5792,411,1298,696,3889,18787,19369,38159,4761,32068,3468,148067,11679,14147,2217,8339,2280,1336,118,0.26,44,1699,806,270,1596,2.5
NSW,10201,Wyong,590.152381,554.7,36.1,2015,"2258, 2258, 2258, 2258, 2258, 2260, 2260, 2260, 2260, 2260, 2261, 2261, 2261, 2261, 2261, 2261, 2261, 2261, 2261, 2261, 2261, 2261, 2261, 2261, 2261, 2262, 2262, 2262, 2262, 2262, 2262, 2262, 2262, 2262, 2263, 2263, 2263, 2263, 2263, 2263, 2263",151.3433,-33.333187,40,3879,15629,27874,1919,7062,3140,22802,86375,92052,178427,7722,136455,33796,141705,7539,75459,9774,38330,9981,4501,498,0.25,44,2150,762,400,1615,2.5
NSW,10202,Bathurst,590.152381,554.7,38.7,2015,"2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583, 2583",149.254163,-34.196526,15,2564,12158,31797,2091,2983,1877,12877,81600,86567,168171,2423,137260,21885,40365,1879,54065,10391,44433,12279,5997,548,0.24,41,1900,692,385,1422,2.5
NSW,10301,Lachlan Valley,590.152381,554.7,36.3,2015,"2671, 2671, 2671, 2671, 2671, 2671, 2671, 2721, 2721, 2794, 2794, 2794, 2794, 2794, 2794, 2794, 2804, 2804, 2804, 2804, 2804, 2805, 2806, 2806, 2806, 2807, 2808, 2809, 2810, 2810, 2810, 2810, 2810, 2810, 2810, 2810, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2871, 2873, 2873, 2873, 2873, 2873, 2874, 2874, 2875, 2875, 2875, 2875, 2875, 2875, 2876, 2876, 2876, 2876, 2876",147.308172,-33.839275,28,818,3269,8388,601,1474,834,5020,24775,24370,49146,5099,41208,4933,48927,1327,17974,2802,10926,2902,1580,148,0.23,39,1733,793,315,1568,2.5
NSW,10302,Lithgow - Mudgee,590.152381,554.7,36.4,2015,"2844, 2844, 2844, 2844, 2845, 2845, 2846, 2846, 2846, 2846, 2846, 2847, 2847, 2848, 2848, 2848, 2848, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849, 2849",149.319295,-31.924969,14,853,3024,8865,700,701,543,3726,27228,27455,54684,2625,46461,3099,40126,1399,15207,3160,14473,4133,2588,159,0.26,44,1200,663,220,1217,2.3
NSW,10303,Orange,590.152381,554.7,38.5,2015,"2791, 2791, 2792, 2792, 2793, 2793, 2793, 2793, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2795, 2797, 2797, 2798, 2798, 2798, 2798, 2798, 2798, 2798, 2798, 2799, 2799, 2799, 2799, 2799, 2799, 2799, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2800, 2864, 2864, 2864, 2864, 2864, 2865, 2865, 2865, 2870, 2870, 2870, 2870, 2870, 2870, 2870, 2870, 2870, 2870, 2870, 2870, 2870, 2870, 2870, 2870, 2870, 2870, 2870",149.164475,-33.634941,18,728,2985,9185,651,841,541,3503,24136,23731,47870,3149,39769,4269,51185,2718,14170,2833,12790,3587,1976,113,0.27,44,1600,667,300,1332,2.3
