Service Name,Physical Address Line 1,Physical Address Line 2,Physical Suburb,Physical State,Physical Post Code,2019 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,Medicare Local Area Name,Medicare Local Area Code,2017 PHN Name,2017 PHN Code,2019 LGA Code,2019 LGA Name,Latitude,Longitude,2022/23 FY Australian Government Funding
Braidwood Multi-Purpose Service,77 Monkittee Street, ,BRAIDWOOD,NSW,2622,Southern Highlands,Multi-Purpose Service,37,2,0,Southern NSW Local Health District,State Government,Inner Regional Australia,5,11007,Braidwood,10102,Queanbeyan,Southern NSW,ML117,South Eastern NSW,PHN106,16490,Queanbeyan-Palerang Regional (A),-35.44276381,149.8054073,"$2,139,665 "
Dellacourt,42 Nicholson Place, ,WEST ALBURY,NSW,2640,Riverina/Murray,Residential,122,0,0,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,2,11174,Albury - South,10901,Albury,Hume,ML216,Murray,PHN205,10050,Albury (C),-36.07540064,146.8908956,"$8,029,046 "
Brewarrina Multi-Purpose Service,56 Doyle Street, ,BREWARRINA,NSW,2839,Orana Far West,Multi-Purpose Service,12,4,0,Western NSW Local Health District,State Government,Very Remote Australia,7,11092,Bourke - Brewarrina,10501,Bourke - Cobar - Coonamble,Far West NSW,ML118,Western NSW,PHN107,11200,Brewarrina (A),-29.961591,146.864313,"$1,192,043 "
BaptistCare Maranoa Centre - Alstonville,"Suite 1, 55 River Street", ,BALLINA,NSW,2478,Far North Coast,Residential,90,0,0,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,3,11236,Ballina,11201,Richmond Valley - Coastal,North Coast NSW,ML113,North Coast,PHN109,10250,Ballina (A),-28.871066,153.5628,"$7,145,920 "
Urana Multi-Purpose Service,127-129 Princess Street, ,URANA,NSW,2645,Riverina/Murray,Multi-Purpose Service,19,0,0,Murrumbidgee Local Health District,State Government,Outer Regional Australia,5,11181,Corowa Region,10903,Upper Murray exc. Albury,Hume,ML216,Murrumbidgee,PHN110,12870,Federation (A),-35.325391,146.267697,"$1,355,862 "
Baradine Multi-Purpose Service,5-9 Macquarie Street, ,BARADINE,NSW,2396,Orana Far West,Multi-Purpose Service,14,3,0,Western NSW Local Health District,State Government,Remote Australia,6,11099,Coonabarabran,10503,Dubbo,Western NSW,ML115,Western NSW,PHN107,18020,Warrumbungle Shire (A),-30.945519,149.067008,"$1,245,128 "
Uniting Autumn Lodge Butler Street,50 Butler Street, ,ARMIDALE,NSW,2350,New England,Residential,64,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,3,11186,Armidale,11001,Armidale,New England,ML114,Hunter New England and Central Coast,PHN108,10130,Armidale Regional (A),-30.503834,151.65837,"$3,601,327 "
Macquarie Lodge Aged Care Plus Centre,171 Wollongong Road, ,ARNCLIFFE,NSW,2205,South East Sydney,Residential,130,0,0,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,1,11375,Arncliffe - Bardwell Valley,11904,Kogarah - Rockdale,South Eastern Sydney,ML103,Central and Eastern Sydney,PHN101,10500,Bayside (A),-33.93965582,151.1348558,"$10,919,368 "
A H Orr Lodge,27 Clissold Street, ,ASHFIELD,NSW,2131,Inner West,Residential,60,0,0,Ashfield Baptist Homes Ltd,Religious,Major Cities of Australia,1,11390,Ashfield,12003,Strathfield - Burwood - Ashfield,Inner West Sydney,ML102,Central and Eastern Sydney,PHN101,14170,Inner West (A),-33.89495522,151.1258414,"$4,320,151 "
Urbenville Multi-Purpose Service,45 Beaury Street, ,URBENVILLE,NSW,2475,New England,Multi-Purpose Service,19,6,0,Northern NSW Local Health District,State Government,Outer Regional Australia,5,11194,Tenterfield,11002,Inverell - Tenterfield,North Coast NSW,ML113,North Coast,PHN109,17400,Tenterfield (A),-28.47155531,152.5432704,"$1,427,373 "
