State/territory,SA3 code,SA3 name,Age group,Participants,Population,Participation (%),Year
NSW,10101,Goulburn - Yass,50–54,"1,363","2,581",52.8,2014-2015
NSW,10101,Goulburn - Yass,55–59,"1,353","2,358",57.4,2014-2015
NSW,10101,Goulburn - Yass,60–64,"1,457","2,409",60.5,2014-2015
NSW,10101,Goulburn - Yass,65–69,"1,347","2,172",62.0,2014-2015
NSW,10101,Goulburn - Yass,70–74,768,"1,756",43.7,2014-2015
NSW,10101,Goulburn - Yass,50–69,"5,519","9,520",58.0,2014-2015
NSW,10102,Queanbeyan,50–54,"1,071","2,179",49.2,2014-2015
NSW,10102,Queanbeyan,55–59,"1,060","1,834",57.8,2014-2015
NSW,10102,Queanbeyan,60–64,962,"1,502",64.0,2014-2015
NSW,10102,Queanbeyan,65–69,750,"1,142",65.7,2014-2015
NSW,10102,Queanbeyan,70–74,392,835,46.9,2014-2015
NSW,10102,Queanbeyan,50–69,"3,843","6,657",57.7,2014-2015
NSW,10103,Snowy Mountains,50–54,371,732,50.6,2014-2015
NSW,10103,Snowy Mountains,55–59,370,684,54.1,2014-2015
NSW,10103,Snowy Mountains,60–64,371,617,60.1,2014-2015
NSW,10103,Snowy Mountains,65–69,324,581,55.8,2014-2015
NSW,10103,Snowy Mountains,70–74,170,430,39.6,2014-2015
NSW,10103,Snowy Mountains,50–69,"1,436","2,614",54.9,2014-2015
NSW,10104,South Coast,50–54,"1,237","2,863",43.2,2014-2015
NSW,10104,South Coast,55–59,"1,749","3,238",54.0,2014-2015
NSW,10104,South Coast,60–64,"1,894","3,113",60.9,2014-2015
NSW,10104,South Coast,65–69,"1,959","3,110",63.0,2014-2015
NSW,10104,South Coast,70–74,981,"2,360",41.6,2014-2015
NSW,10104,South Coast,50–69,"6,840","12,324",55.5,2014-2015
NSW,10201,Gosford,50–54,"2,665","6,369",41.8,2014-2015
NSW,10201,Gosford,55–59,"2,912","5,806",50.2,2014-2015
NSW,10201,Gosford,60–64,"2,942","5,518",53.3,2014-2015
NSW,10201,Gosford,65–69,"2,935","5,428",54.1,2014-2015
NSW,10201,Gosford,70–74,"1,964","4,172",47.1,2014-2015
NSW,10201,Gosford,50–69,"11,454","23,121",49.5,2014-2015
