sa3_code,Area_Label,Census_Year,Estimated_Resident_Population,Population_Density_Per_Km2,Estimated resident population - males (no.),Estimated resident population - females (no.),Median_Age_Males,Median_Age_Females,Median_Age_Overall,Males - 85 and over (no.),Females - 85 and over (no.),Number_of_Births,Number_of_Deaths,Standardised_Death_Rate,Overseas_Arrivals,Overseas_Departures,Net_Overseas_Migration,Indigenous_Population,Indigenous_Population_Percent,Born_in_Oceania_Excluding_Australia_Percent,Born_in_North_West_Europe_Percent,Born_in_Southern_Eastern_Europe_Percent,Born_in_North_Africa_Middle_East_Percent,Born_in_South_East_Asia_Percent,Born_in_North_East_Asia_Percent,Born_in_Southern_Central_Asia_Percent,Born_in_Americas_Percent,Born_in_Sub_Saharan_Africa_Percent,Total_Born_Overseas,Total_Born_Overseas_Percent,Number_of_Australian_Citizens,Number_of_Non_Australian_Citizens,Australian_Citizenship_Not_Stated,Australian_Citizen_Percent,Non_Australian_Citizen_Percent,Australian_Citizenship_Not_Stated_Percent,Speaks_Other_Language_At_Home,Speaks_Other_Language_At_Home_Percent,Males_Under_14,Females_Under_14,Males_15_to_24,Females_15_to_24,Males_25_to_34,Females_25_to_34,Males_35_to_44,Females_35_to_44,Males_45_to_54,Females_45_to_54,Males_55_to_64,Females_55_to_64,Males_65_to_74,Females_65_to_74,Males_75_to_84,Females_75_to_84,Males_85_and_over,Females_85_and_over
10050,Albury,2011,,,,,,,,,,,,,,,,1108.00,2.30,,,,,,,,,,,,43210.00,2016.00,2583.00,90.40,4.20,5.40,2538.00,5.30,,,,,,,,,,,,,,,,,,
10050,Albury,2016,,,,,,,,,,757.00,454.00,5.90,,,,1413.00,2.80,1.20,3.70,0.80,0.20,1.10,0.40,2.50,0.40,0.50,5537.00,10.80,45030.00,2295.00,3750.00,88.20,4.50,7.30,3449.00,6.80,,,,,,,,,,,,,,,,,,
10050,Albury,2017,53023.00,173.50,25717.00,27306.00,36.80,39.40,38.20,477.00,850.00,690.00,431.00,6.00,497.00,189.00,308.00,,,,,,,,,,,,,,,,,,,,,,5231.0,5004.0,3544.0,3650.0,3501.0,3544.0,3078.0,3319.0,3171.0,3343.0,3072.0,3348.0,2366.0,2614.0,1277.0,1634.0,477.00,850.00
10050,Albury,2018,53857.00,176.20,26156.00,27701.00,36.70,39.40,38.00,478.00,844.00,783.00,442.00,6.10,482.00,208.00,274.00,,,,,,,,,,,,,,,,,,,,,,5296.0,5073.0,3590.0,3686.0,3607.0,3629.0,3158.0,3332.0,3139.0,3340.0,3091.0,3402.0,2480.0,2710.0,1317.0,1685.0,478.00,844.00
10050,Albury,2019,54567.00,178.50,26545.00,28022.00,36.70,39.40,38.00,475.00,845.00,716.00,535.00,6.30,489.00,230.00,259.00,,,,,,,,,,,,,,,,,,,,,,5370.0,5127.0,3601.0,3660.0,3721.0,3699.0,3204.0,3353.0,3127.0,3355.0,3121.0,3418.0,2568.0,2802.0,1358.0,1763.0,475.00,845.00
10050,Albury,2020,55350.00,181.10,26946.00,28404.00,37.10,39.90,38.50,489.00,851.00,663.00,443.00,6.30,434.00,259.00,175.00,,,,,,,,,,,,,,,,,,,,,,5438.0,5152.0,3529.0,3593.0,3780.0,3760.0,3292.0,3402.0,3145.0,3383.0,3205.0,3484.0,2638.0,2934.0,1430.0,1845.0,489.00,851.00
10050,Albury,2021,56036.00,183.30,27312.00,28724.00,37.70,40.40,39.10,493.00,867.00,656.00,570.00,6.60,181.00,157.00,24.00,2126.00,3.80,1.20,3.50,0.80,0.20,1.40,0.40,3.60,0.50,0.90,6974.00,12.40,49860.00,3293.00,2939.00,88.90,5.90,5.20,4817.00,8.60,5542.0,5227.0,3446.0,3456.0,3721.0,3727.0,3349.0,3539.0,3244.0,3410.0,3234.0,3494.0,2779.0,3085.0,1504.0,1919.0,493.00,867.00
10050,Albury,2022,56598.00,185.20,,,,,,,,,,,426.00,204.00,222.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10180,Armidale Regional,2011,,,,,,,,,,,,,,,,1705.00,6.20,,,,,,,,,,,,24182.00,1402.00,1823.00,88.20,5.10,6.70,1593.00,5.80,,,,,,,,,,,,,,,,,,
10180,Armidale Regional,2016,,,,,,,,,,328.00,208.00,6.00,,,,1951.00,6.90,1.40,3.40,0.40,1.30,1.20,1.40,1.80,0.90,0.70,3570.00,12.50,24354.00,1945.00,2171.00,85.50,6.80,7.60,2328.00,8.20,,,,,,,,,,,,,,,,,,
