State/territory,PHN Code,PHN name,Age group,Participants,Population,Participation (%),Year
NSW,PHN101,Central and Eastern Sydney,20–24,"19,706","59,515",33.1,2014-2015
NSW,PHN101,Central and Eastern Sydney,25–29,"35,697","76,366",46.7,2014-2015
NSW,PHN101,Central and Eastern Sydney,30–34,"41,334","72,886",56.7,2014-2015
NSW,PHN101,Central and Eastern Sydney,35–39,"35,115","56,432",62.2,2014-2015
NSW,PHN101,Central and Eastern Sydney,40–44,"32,832","50,630",64.8,2014-2015
NSW,PHN101,Central and Eastern Sydney,45–49,"27,261","40,712",67.0,2014-2015
NSW,PHN101,Central and Eastern Sydney,50–54,"25,630","37,547",68.3,2014-2015
NSW,PHN101,Central and Eastern Sydney,55–59,"20,873","32,156",64.9,2014-2015
NSW,PHN101,Central and Eastern Sydney,60–64,"16,833","26,562",63.4,2014-2015
NSW,PHN101,Central and Eastern Sydney,65–69,"12,787","22,479",56.9,2014-2015
NSW,PHN101,Central and Eastern Sydney,20–69,"268,066","475,284",56.4,2014-2015
NSW,PHN102,Northern Sydney,20–24,"10,393","28,999",35.8,2014-2015
NSW,PHN102,Northern Sydney,25–29,"14,714","30,462",48.3,2014-2015
NSW,PHN102,Northern Sydney,30–34,"19,776","33,337",59.3,2014-2015
NSW,PHN102,Northern Sydney,35–39,"20,744","32,297",64.2,2014-2015
NSW,PHN102,Northern Sydney,40–44,"22,128","32,812",67.4,2014-2015
NSW,PHN102,Northern Sydney,45–49,"20,071","28,042",71.6,2014-2015
NSW,PHN102,Northern Sydney,50–54,"18,752","25,607",73.2,2014-2015
NSW,PHN102,Northern Sydney,55–59,"15,272","21,317",71.6,2014-2015
NSW,PHN102,Northern Sydney,60–64,"12,338","17,930",68.8,2014-2015
NSW,PHN102,Northern Sydney,65–69,"9,786","15,549",62.9,2014-2015
NSW,PHN102,Northern Sydney,20–69,"163,974","266,353",61.6,2014-2015
NSW,PHN103,Western Sydney,20–24,"8,367","31,960",26.2,2014-2015
NSW,PHN103,Western Sydney,25–29,"14,603","36,952",39.5,2014-2015
NSW,PHN103,Western Sydney,30–34,"19,168","38,472",49.8,2014-2015
NSW,PHN103,Western Sydney,35–39,"17,428","32,558",53.5,2014-2015
NSW,PHN103,Western Sydney,40–44,"16,688","29,895",55.8,2014-2015
NSW,PHN103,Western Sydney,45–49,"14,712","25,074",58.7,2014-2015
NSW,PHN103,Western Sydney,50–54,"13,342","22,821",58.5,2014-2015
NSW,PHN103,Western Sydney,55–59,"11,126","19,697",56.5,2014-2015
NSW,PHN103,Western Sydney,60–64,"8,691","16,003",54.3,2014-2015
NSW,PHN103,Western Sydney,65–69,"6,337","12,722",49.8,2014-2015
NSW,PHN103,Western Sydney,20–69,"130,461","266,154",49.0,2014-2015
NSW,PHN104,Nepean Blue Mountains,20–24,"5,147","12,472",41.3,2014-2015
NSW,PHN104,Nepean Blue Mountains,25–29,"6,175","12,255",50.4,2014-2015
NSW,PHN104,Nepean Blue Mountains,30–34,"6,546","12,054",54.3,2014-2015
NSW,PHN104,Nepean Blue Mountains,35–39,"6,174","11,152",55.4,2014-2015
NSW,PHN104,Nepean Blue Mountains,40–44,"6,664","12,005",55.5,2014-2015
NSW,PHN104,Nepean Blue Mountains,45–49,"6,043","10,513",57.5,2014-2015
NSW,PHN104,Nepean Blue Mountains,50–54,"5,943","10,341",57.5,2014-2015
NSW,PHN104,Nepean Blue Mountains,55–59,"5,184","9,336",55.5,2014-2015
NSW,PHN104,Nepean Blue Mountains,60–64,"4,259","7,866",54.1,2014-2015
NSW,PHN104,Nepean Blue Mountains,65–69,"3,141","6,433",48.8,2014-2015
NSW,PHN104,Nepean Blue Mountains,20–69,"55,276","104,428",52.9,2014-2015
NSW,PHN105,South Western Sydney,20–24,"9,826","33,137",29.7,2014-2015
NSW,PHN105,South Western Sydney,25–29,"14,561","33,706",43.2,2014-2015
NSW,PHN105,South Western Sydney,30–34,"16,996","32,864",51.7,2014-2015
NSW,PHN105,South Western Sydney,35–39,"16,355","30,019",54.5,2014-2015
NSW,PHN105,South Western Sydney,40–44,"17,412","29,997",58.0,2014-2015
NSW,PHN105,South Western Sydney,45–49,"15,385","26,362",58.4,2014-2015
NSW,PHN105,South Western Sydney,50–54,"14,823","25,377",58.4,2014-2015
NSW,PHN105,South Western Sydney,55–59,"12,418","22,237",55.8,2014-2015
NSW,PHN105,South Western Sydney,60–64,"9,541","17,721",53.8,2014-2015
