State/territory,SA3 code,SA3 name,Age group,Participants,Population,Participation (%),Year
NSW,10101,Goulburn - Yass,20–24,835,"1,750",47.7,2014-2015
NSW,10101,Goulburn - Yass,25–29,880,"1,757",50.1,2014-2015
NSW,10101,Goulburn - Yass,30–34,967,"1,851",52.2,2014-2015
NSW,10101,Goulburn - Yass,35–39,"1,034","2,074",49.8,2014-2015
NSW,10101,Goulburn - Yass,40–44,"1,187","2,292",51.8,2014-2015
NSW,10101,Goulburn - Yass,45–49,"1,111","1,979",56.2,2014-2015
NSW,10101,Goulburn - Yass,50–54,"1,151","2,091",55.0,2014-2015
NSW,10101,Goulburn - Yass,55–59,978,"1,821",53.7,2014-2015
NSW,10101,Goulburn - Yass,60–64,840,"1,773",47.4,2014-2015
NSW,10101,Goulburn - Yass,65–69,748,"1,534",48.8,2014-2015
NSW,10102,Queanbeyan,20–24,852,"1,769",48.2,2014-2015
NSW,10102,Queanbeyan,25–29,971,"1,771",54.8,2014-2015
NSW,10102,Queanbeyan,30–34,"1,066","2,043",52.2,2014-2015
NSW,10102,Queanbeyan,35–39,"1,103","1,811",60.9,2014-2015
NSW,10102,Queanbeyan,40–44,"1,191","2,081",57.3,2014-2015
NSW,10102,Queanbeyan,45–49,"1,192","1,871",63.7,2014-2015
NSW,10102,Queanbeyan,50–54,"1,015","1,765",57.5,2014-2015
NSW,10102,Queanbeyan,55–59,824,"1,416",58.2,2014-2015
NSW,10102,Queanbeyan,60–64,625,"1,106",56.5,2014-2015
NSW,10102,Queanbeyan,65–69,427,806,53.0,2014-2015
NSW,10103,Snowy Mountains,20–24,182,419,43.4,2014-2015
NSW,10103,Snowy Mountains,25–29,271,382,70.9,2014-2015
NSW,10103,Snowy Mountains,30–34,273,468,58.4,2014-2015
NSW,10103,Snowy Mountains,35–39,257,459,56.1,2014-2015
NSW,10103,Snowy Mountains,40–44,374,648,57.7,2014-2015
NSW,10103,Snowy Mountains,45–49,380,608,62.5,2014-2015
NSW,10103,Snowy Mountains,50–54,355,593,59.8,2014-2015
NSW,10103,Snowy Mountains,55–59,296,528,56.1,2014-2015
