State_and_territory,SA3_name,Year,Participation_Per
NSW,Goulburn - Yass,2015,38.5
NSW,Queanbeyan,2015,38.9
NSW,Snowy Mountains,2015,40.1
NSW,South Coast,2015,44.2
NSW,Gosford,2015,36.6
NSW,Wyong,2015,36.1
NSW,Bathurst,2015,38.7
NSW,Lachlan Valley,2015,36.3
NSW,Lithgow - Mudgee,2015,36.4
NSW,Orange,2015,38.5
NSW,Clarence Valley,2015,40.5
NSW,Coffs Harbour,2015,40.1
NSW,Bourke - Cobar - Coonamble,2015,27.6
NSW,Broken Hill and Far West,2015,35.5
NSW,Dubbo,2015,34.8
NSW,Lower Hunter,2015,37.1
NSW,Maitland,2015,37.5
NSW,Port Stephens,2015,41.3
NSW,Upper Hunter,2015,33.3
NSW,Dapto - Port Kembla,2015,34.5
NSW,Illawarra Catchment Reserve,2015,41.38559471
NSW,Kiama - Shellharbour,2015,39.1
NSW,Wollongong,2015,38.7
NSW,Great Lakes,2015,44
NSW,Kempsey - Nambucca,2015,38.5
NSW,Lord Howe Island,2015,41.38559471
NSW,Port Macquarie,2015,41.9
NSW,Taree - Gloucester,2015,41.5
NSW,Albury,2015,41.5
NSW,Lower Murray,2015,36.7
NSW,Upper Murray exc. Albury,2015,43
NSW,Armidale,2015,41.8
NSW,Inverell - Tenterfield,2015,37.6
NSW,Moree - Narrabri,2015,32.3
NSW,Tamworth - Gunnedah,2015,38.7
NSW,Lake Macquarie - East,2015,40.8
NSW,Lake Macquarie - West,2015,40.6
NSW,Newcastle,2015,38.4
NSW,Richmond Valley - Coastal,2015,38.8
NSW,Richmond Valley - Hinterland,2015,38.9
NSW,Tweed Valley,2015,38.6
NSW,Griffith - Murrumbidgee (West),2015,33.1
NSW,Tumut - Tumbarumba,2015,39.1
NSW,Wagga Wagga,2015,37.4
NSW,Shoalhaven,2015,41.8
NSW,Southern Highlands,2015,38.3
NSW,Baulkham Hills,2015,38.2
NSW,Dural - Wisemans Ferry,2015,35
NSW,Hawkesbury,2015,37.5
NSW,Rouse Hill - McGraths Hill,2015,34.3
NSW,Blacktown,2015,31.1
NSW,Blacktown - North,2015,32.7
NSW,Mount Druitt,2015,25.3
NSW,Botany,2015,31.3
NSW,Marrickville - Sydenham - Petersham,2015,34.2
NSW,Sydney Inner City,2015,30.7
NSW,Eastern Suburbs - North,2015,30.8
