State_and_territory,SA3_name,Latitude,Longitude
NSW,Goulburn - Yass,-34.711018,148.555243
NSW,Queanbeyan,-34.764484,149.286631
NSW,Snowy Mountains,-36.50661,148.301005
NSW,South Coast,-35.939649,149.912199
NSW,Gosford,-33.482209,151.401999
NSW,Wyong,-33.333187,151.3433
NSW,Bathurst,-34.196526,149.254163
NSW,Lachlan Valley,-33.839275,147.308172
NSW,Lithgow - Mudgee,-31.924969,149.319295
NSW,Orange,-33.634941,149.164475
NSW,Clarence Valley,-29.829194,153.187047
NSW,Coffs Harbour,-30.097726,152.658268
NSW,Bourke - Cobar - Coonamble,-33.24358,146.40002
NSW,Broken Hill and Far West,-31.498123,143.270562
NSW,Dubbo,-31.51588428,149.781025
NSW,Lower Hunter,-32.3438,151.522527
NSW,Maitland,-32.785207,151.453148
NSW,Port Stephens,-32.797453,151.840094
NSW,Upper Hunter,-32.57693,150.564817
NSW,Dapto - Port Kembla,-34.494723,150.873081
NSW,Illawarra Catchment Reserve,,
NSW,Kiama - Shellharbour,-34.548722,150.855135
NSW,Wollongong,-34.423171,150.874294
NSW,Great Lakes,-32.623108,152.332617
NSW,Kempsey - Nambucca,-30.925233,153.053789
NSW,Lord Howe Island,-31.55247,159.081217
NSW,Port Macquarie,-31.654722,152.652155
NSW,Taree - Gloucester,-32.16165072,152.3722113
NSW,Albury,-36.038655,146.930436
NSW,Lower Murray,-33.29624634,141.8018461
NSW,Upper Murray exc. Albury,-35.936556,146.617535
NSW,Armidale,-30.493397,151.906153
NSW,Inverell - Tenterfield,-30.115913,151.673028
NSW,Moree - Narrabri,-30.619798,148.96949
NSW,Tamworth - Gunnedah,-31.735174,151.029159
NSW,Lake Macquarie - East,-33.019715,151.663175
NSW,Lake Macquarie - West,-33.208801,151.377213
NSW,Newcastle,-32.933305,151.651095
NSW,Richmond Valley - Coastal,-29.2343298,153.3210837
NSW,Richmond Valley - Hinterland,-29.05366265,152.5892786
NSW,Tweed Valley,-28.499375,152.88504
NSW,Griffith - Murrumbidgee (West),-33.814887,146.667476
NSW,Tumut - Tumbarumba,-34.75833012,148.9655031
NSW,Wagga Wagga,-34.599488,148.255601
NSW,Shoalhaven,-34.1336,151.1041
NSW,Southern Highlands,-34.583539,150.754592
NSW,Baulkham Hills,-33.735906,151.030535
NSW,Dural - Wisemans Ferry,-33.656984,150.974528
NSW,Hawkesbury,-33.325373,151.189243
NSW,Rouse Hill - McGraths Hill,,
NSW,Blacktown,-33.760263,150.966912
NSW,Blacktown - North,-33.731523,150.931074
NSW,Mount Druitt,-33.742006,150.84746
NSW,Botany,-33.947087,151.197644
NSW,Marrickville - Sydenham - Petersham,-33.926669,151.210791
NSW,Sydney Inner City,-33.794883,151.268071
NSW,Eastern Suburbs - North,-33.88871,151.240508
NSW,Eastern Suburbs - South,-33.888549,151.140735
NSW,Bankstown,-33.908788,150.986277
NSW,Canterbury,-33.907417,151.024581
NSW,Hurstville,-33.94913,151.075304
NSW,Kogarah - Rockdale,-33.935923,151.100027
NSW,Canada Bay,-33.842999,151.151958
NSW,Leichhardt,-33.881624,151.170165
NSW,Strathfield - Burwood - Ashfield,-33.89194485,151.0477059
NSW,Chatswood - Lane Cove,-33.812636,151.214797
NSW,Hornsby,-33.707684,151.099812
NSW,Ku-ring-gai,-33.780246,151.195368
NSW,North Sydney - Mosman,-33.865367,151.193071
NSW,Manly,-33.329799,151.505125
NSW,Pittwater,-33.698773,151.216799
NSW,Warringah,-33.793137,151.246751
NSW,Camden,,
NSW,Campbelltown (NSW),-33.960035,150.802088
NSW,Wollondilly,-34.194216,150.768408
NSW,Blue Mountains,-33.483614,150.601824
NSW,Blue Mountains - South,-34.726283,149.729215
NSW,Penrith,-33.77413222,150.7376907
NSW,Richmond - Windsor,-33.604022,150.646053
NSW,St Marys,-33.859047,151.19554
