State_and_territory,SA3_name,Year,Age_group,Participants
NSW,Queanbeyan,2018,50–54,1285
NSW,Queanbeyan,2018,55–59,1260
NSW,Queanbeyan,2018,60–64,1048
NSW,Queanbeyan,2018,65–69,855
NSW,Queanbeyan,2018,70–74,600
NSW,Queanbeyan,2018,50–69,4448
NSW,Queanbeyan,2018,50–74,5048
NSW,Queanbeyan,2019,50–54,1375
NSW,Queanbeyan,2019,55–59,1252
NSW,Queanbeyan,2019,60–64,1105
NSW,Queanbeyan,2019,65–69,898
NSW,Queanbeyan,2019,70–74,647
NSW,Queanbeyan,2019,50–69,4629
NSW,Queanbeyan,2019,50–74,5276
NSW,Queanbeyan,2020,50–54,1372
NSW,Queanbeyan,2020,55–59,1184
NSW,Queanbeyan,2020,60–64,1064
NSW,Queanbeyan,2020,65–69,898
NSW,Queanbeyan,2020,70–74,661
NSW,Queanbeyan,2020,50–69,4518
NSW,Queanbeyan,2020,50–74,5179
NSW,Snowy Mountains,2018,50–54,391
NSW,Snowy Mountains,2018,55–59,453
NSW,Snowy Mountains,2018,60–64,406
NSW,Snowy Mountains,2018,65–69,371
NSW,Snowy Mountains,2018,70–74,290
NSW,Snowy Mountains,2018,50–69,1621
NSW,Snowy Mountains,2018,50–74,1910
NSW,Snowy Mountains,2019,50–54,419
NSW,Snowy Mountains,2019,55–59,480
NSW,Snowy Mountains,2019,60–64,425
NSW,Snowy Mountains,2019,65–69,399
NSW,Snowy Mountains,2019,70–74,317
NSW,Snowy Mountains,2019,50–69,1723
NSW,Snowy Mountains,2019,50–74,2039
NSW,Snowy Mountains,2020,50–54,408
NSW,Snowy Mountains,2020,55–59,446
NSW,Snowy Mountains,2020,60–64,432
NSW,Snowy Mountains,2020,65–69,380
NSW,Snowy Mountains,2020,70–74,312
NSW,Snowy Mountains,2020,50–69,1667
NSW,Snowy Mountains,2020,50–74,1979
NSW,South Coast,2018,50–54,1376
NSW,South Coast,2018,55–59,1956
NSW,South Coast,2018,60–64,2225
NSW,South Coast,2018,65–69,2249
NSW,South Coast,2018,70–74,1759
NSW,South Coast,2018,50–69,7805
NSW,South Coast,2018,50–74,9565
NSW,South Coast,2019,50–54,1352
NSW,South Coast,2019,55–59,1989
NSW,South Coast,2019,60–64,2324
NSW,South Coast,2019,65–69,2270
NSW,South Coast,2019,70–74,1951
NSW,South Coast,2019,50–69,7935
NSW,South Coast,2019,50–74,9885
NSW,South Coast,2020,50–54,1110
NSW,South Coast,2020,55–59,1741
NSW,South Coast,2020,60–64,2093
NSW,South Coast,2020,65–69,2122
NSW,South Coast,2020,70–74,1841
NSW,South Coast,2020,50–69,7065
NSW,South Coast,2020,50–74,8906
NSW,Goulburn - Mulwaree,2018,50–54,619
NSW,Goulburn - Mulwaree,2018,55–59,777
NSW,Goulburn - Mulwaree,2018,60–64,719
NSW,Goulburn - Mulwaree,2018,65–69,724
NSW,Goulburn - Mulwaree,2018,70–74,568
NSW,Goulburn - Mulwaree,2018,50–69,2839
NSW,Goulburn - Mulwaree,2018,50–74,3407
NSW,Goulburn - Mulwaree,2019,50–54,621
NSW,Goulburn - Mulwaree,2019,55–59,818
